Winery,Year,Wine_ID,Wine,Rating,Reviews,Price,Region,Primary_Grape,Natural,Country,Style,Country_Code
Altos Las Hormigas,2018,1224602,Malbec Terroir Valle de Uco 2018,3.8,434,18.85,Valle de Uco,Malbec,False,Argentina,Red,ARG
Séptima,2017,1126740,Gran Reserva 2017,4.3,2541,18.9,Mendoza,Malbec,False,Argentina,Red,ARG
Séptima,2018,1126740,Gran Reserva 2018,4.2,640,18.9,Mendoza,Malbec,False,Argentina,Red,ARG
Michelini i Mufatto,2020,8299753,Balsa de Piedra 2020,3.7,126,18.9,Tupungato,Malbec,False,Argentina,Red,ARG
Luca,2019,74339,Pinot Noir (G Lot) 2019,4.2,165,19.15,Tupungato,Malbec,False,Argentina,Red,ARG
Revancha,2019,5239254,La Primera Chenin Blanc 2019,3.9,94,19.25,Mendoza,Malbec,False,Argentina,White,ARG
Luca,2019,74336,Chardonnay (G Lot) 2019,4.3,753,19.25,Tupungato,Malbec,False,Argentina,White,ARG
Zuccardi,2018,19429,Q Malbec 2018,3.9,2483,19.5,La Consulta,Malbec,False,Argentina,Red,ARG
Patritti,2018,1518995,Primogénito Chardonnay 2018,3.8,62,19.9,Patagonia,Malbec,False,Argentina,White,ARG
Bodega Atamisque,2018,1701679,Malbec 2018,4.1,41,19.95,Valle de Uco,Malbec,False,Argentina,Red,ARG
Catena Alta,2019,1872,Chardonnay 2019,4.1,317,21.5,Mendoza,Malbec,False,Argentina,White,ARG
Luca,2018,74338,Old Vine Malbec 2018,4.3,4809,22.11,Valle de Uco,Malbec,False,Argentina,Red,ARG
El Enemigo,2018,2342297,Cabernet Franc 2018,4.4,1353,22.38,Mendoza,Malbec,False,Argentina,Red,ARG
El Enemigo,2019,1272950,Chardonnay 2019,4.2,251,22.75,Mendoza,Malbec,False,Argentina,White,ARG
El Enemigo,2017,1292924,Bonarda 2017,4.4,4403,22.91,Mendoza,Malbec,False,Argentina,Red,ARG
Passionate,2019,1675186,Montesco Agua de Roca 2019,4.0,112,22.94,Gualtallary,Malbec,False,Argentina,White,ARG
Passionate,2015,2459891,Via Revolucionaria Sémillon Hulk 2015,3.5,49,23.35,Mendoza,Malbec,False,Argentina,White,ARG
Bodega El Porvenir de Cafayate,2019,7777200,Naranjo 2019,3.7,74,24.5,Valle de Cafayate,Malbec,False,Argentina,White,ARG
Finca Ferrer,2017,6165181,Colección 1310 mts Block c2 Chardonnay 2017,3.8,27,24.5,Valle de Uco,Malbec,False,Argentina,White,ARG
Altos Las Hormigas,2018,1695211,Malbec Reserve 2018,3.8,88,28.15,Valle de Uco,Malbec,False,Argentina,Red,ARG
Luca,2018,74337,Beso de Dante 2018,4.4,1564,29.8,Mendoza,Malbec,False,Argentina,Red,ARG
Zuccardi,2014,1497609,Tito 2014,3.9,651,29.9,La Consulta,Malbec,False,Argentina,Red,ARG
Catena Alta,2018,1870,Malbec 2018,4.3,491,30.32,Mendoza,Malbec,False,Argentina,Red,ARG
Casa Yagüe,2018,6435078,Chardonnay 2018,4.0,57,31.34,Patagonia,Malbec,False,Argentina,White,ARG
Catena Alta,2018,6004174,Cabernet Sauvignon 2018,4.2,91,32.0,Mendoza,Malbec,False,Argentina,Red,ARG
Catena Alta,2016,6004174,Cabernet Sauvignon 2016,4.2,506,32.5,Mendoza,Malbec,False,Argentina,Red,ARG
Bodega Piedra Negra,2015,1136459,Gran Malbec Mendoza 2015,4.1,284,32.9,Valle de Uco,Malbec,False,Argentina,Red,ARG
Matías Riccitelli,2020,8811915,Chenin Blanc 2020,4.0,32,34.45,Río Negro,Malbec,False,Argentina,White,ARG
PerSe,2018,7581071,Inseparable 2018,4.3,299,34.65,Gualtallary,Malbec,False,Argentina,Red,ARG
Zuccardi,2016,5565194,José Malbec 2016,4.2,1355,35.0,Valle de Uco,Malbec,False,Argentina,Red,ARG
Felipe Staiti,2018,2758799,Vertigo Malbec - Syrah 2018,4.1,56,35.5,Valle de Uco,Malbec,False,Argentina,Red,ARG
Altar Uco,2018,5374268,Edad Media Blanco 2018,4.4,155,37.35,Valle de Uco,Malbec,False,Argentina,White,ARG
Terrazas de los Andes,2010,3478,Single Vineyard (Las Compuertas) Malbec 2010,4.0,1046,46.69,Mendoza,Malbec,False,Argentina,Red,ARG
Altos Las Hormigas,2018,4442301,Malbec Appellation Gualtallary 2018,4.2,150,48.8,Gualtallary,Malbec,False,Argentina,Red,ARG
Terrazas de los Andes,2014,3478,Single Vineyard (Las Compuertas) Malbec 2014,4.2,1019,48.9,Mendoza,Malbec,False,Argentina,Red,ARG
Terrazas de los Andes,2017,8261678,High Altitude Vineyards Grand Malbec 2017,4.1,65,52.5,Mendoza,Malbec,False,Argentina,Red,ARG
Michelini i Mufatto,2018,6628010,Certezas 2018,4.1,28,55.2,Tupungato,Malbec,False,Argentina,White,ARG
Michelini i Mufatto,2018,6620994,Convicciones 2018,4.1,32,55.2,Gualtallary,Malbec,False,Argentina,White,ARG
Chacra,2019,6663875,Mainqué Chardonnay 2019,4.2,335,57.9,Patagonia,Malbec,False,Argentina,White,ARG
El Enemigo,2017,1235058,Gran Enemigo 2017,4.6,55,60.9,Mendoza,Malbec,False,Argentina,Red,ARG
Matías Riccitelli,2017,5091281,Father Malbec - Cabernet Franc 2017,4.4,549,62.9,Mendoza,Malbec,False,Argentina,Red,ARG
Michelini i Mufatto,2018,6383254,La Cautiva 2018,4.2,36,65.0,Gualtallary,Malbec,False,Argentina,Red,ARG
